"asset";"id";"companies";"model";"serial_number";"purchase_date";"warranty_date";"purchase_price";"version";"lifecycle_phase";"location";"users";"created_at";"updated_at";"host_name";"product_id";"last_boot_time";"encryption_status";"has_CVE";"CVE_details";"highest_CVE_severity";"data_classification";"uuid";"verified"
1;1;1;"iPhone 11";"i93849-NM";"2023-02-09";"2025-02-08";1119.99;1;"active";5;2;"2023-02-09 21:59:46";"2023-04-27 17:23:22";"Kieran's-iPhone";"436346346";"27/02/2023, 15:04:17";"Fully Encrypted";1;"";"";"Public";"";1
1;2;2;"MacBook Air M2";"i385739-M2";"2022-12-11";"2024-06-07";1549.0;1;"active";5;2;"2023-02-10 11:53:29";"2023-04-27 17:23:22";"Kieran's-MacBook";"363-464364-643634643";"27/02/2023, 15:04:17";"Fully Encrypted";1;"";"";"Public";"";1
1;3;2;"iPad Pro M2";"i728204-L2";"2023-01-08";"2025-01-22";1249.99;1;"active";6;3;"2023-02-10 11:54:25";"2023-04-27 17:23:22";"Adam's-iPad";"AAAA213242-2421-131";"27/02/2023, 15:04:17";"Fully Encrypted";1;"";"";"Public";"";1
1;4;3;"Link Server";"12345678";"2023-02-27";"2023-02-27";8999.99;1;"active";7;2;"2023-02-27 16:29:03";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;5;3;"4Gbps Switch";"12345678";"2023-02-27";"2023-02-27";73.99;1;"active";8;2;"2023-02-27 17:34:40";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;6;6;"24"" Monitor";"12345678";"2023-02-27";"2023-02-27";79.99;1;"active";9;2;"2023-02-27 17:36:27";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;8;7;"B450M DS3H";"84JFJF-939394-A";"2023-02-27";"2023-02-27";8744.56;1;"active";10;2;"2023-02-27 17:48:10";"2023-04-27 17:23:22";"DESKTOP-PJQ9I29";"00326-10000-00000-AA897";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;9;7;"B450M DS3H";"2K-29485o-LLL";"2023-02-28";"2023-02-28";675.78;1;"active";11;2;"2023-02-28 11:28:18";"2023-04-27 17:23:22";"DESKTOP-PJQ9I29";"00326-10000-00000-AA897";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;13;1;"B450M DS3H";"19549-49503-494390-MA";"2023-02-28";"2023-02-28";269.99;1;"active";12;2;"2023-02-28 14:08:05";"2023-05-07 12:58:11";"DESKTOP-PJQ9I29";"00326-10000-00000-AA897";"28/02/2023, 11";"Not Encrypted";0;"";"";"Public";"";1
1;14;1;"iPhone 11";"i93849-NM";"2023-02-09";"2025-02-08";1119.99;1;"active";13;2;"2023-02-09 21:59:46";"2023-04-27 17:23:22";"Kieran's-iPhone";"436346346";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;15;2;"MacBook Air M2";"i385739-M2";"2022-12-11";"2024-06-07";1549.0;1;"active";14;2;"2023-02-10 11:53:29";"2023-04-27 17:23:22";"Kieran's-MacBook";"363-464364-643634643";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;16;2;"iPad Pro M2";"i728204-L2";"2023-01-08";"2025-01-22";1249.99;1;"active";15;3;"2023-02-10 11:54:25";"2023-04-27 17:23:22";"Adam's-iPad";"AAAA213242-2421-131";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;17;3;"Link Server";"12345678";"2023-02-27";"2023-02-27";8999.99;1;"active";15;2;"2023-02-27 16:29:03";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;18;3;"4Gbps Switch";"12345678";"2023-02-27";"2023-02-27";73.99;1;"active";14;2;"2023-02-27 17:34:40";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
1;19;6;"24"" Monitor";"12345678";"2023-02-27";"2023-02-27";79.99;1;"active";14;2;"2023-02-27 17:36:27";"2023-04-27 17:23:22";"Still Postman";"954763738";"27/02/2023, 15:04:17";"Fully Encrypted";0;"";"";"Public";"";1
